Bericht:;Strom;;;;;;;;;;;;;;;;;;;;
von;01.01.2020 00:00;;;;;;;;;;;;;;;;;;;;
bis;01.01.2021 00:00;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;P4_H8_EDA;P1_H8_EDA;Z1_Bad_H8_EDA;Z1_RLT_H8_EDA;Z1_TWW_H8_EDA;Z_EV_H8_EDA;Z_H8_EDA;Z_EA_H8_EDA;;
Jahr;Monat;KW;Wo-Tag;Tag;;Uhrzeit;Stunden;Minuten;Startzeit;Endezeit;;h;h;Wh;Wh;Wh;Wh;Wh;Wh;;
;;;;;;;;;43.831,00;44.197,00; Summe ;2.168,44;860,18;2.589,00;71.069,00;1.342.913,00;3.480.987,00;5.063.331,00; -     ; -     ; -     
2020;1;1;Mittwoch;1;Mi 01.01.20;00:00;0;1;01.01.2020 00:00;01.01.2020 00:15;;0,06;0;0;1;128;49;184;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;00:15;0;1;01.01.2020 00:15;01.01.2020 00:30;;0,06;0;0;1;134;44;184;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;00:30;0;1;01.01.2020 00:30;01.01.2020 00:45;;0,07;0;0;1;52;54;112;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;00:45;0;1;01.01.2020 00:45;01.01.2020 01:00;;0,06;0;0;1;6;54;65;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;01:00;1;1;01.01.2020 01:00;01.01.2020 01:15;;0,06;0;0;1;5;47;58;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;01:15;1;1;01.01.2020 01:15;01.01.2020 01:30;;0,06;0;0;0;6;55;66;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;01:30;1;1;01.01.2020 01:30;01.01.2020 01:45;;0,07;0;0;1;6;66;78;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;01:45;1;1;01.01.2020 01:45;01.01.2020 02:00;;0,06;0;0;1;5;154;165;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;02:00;2;1;01.01.2020 02:00;01.01.2020 02:15;;0,06;0;0;1;6;54;66;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;02:15;2;1;01.01.2020 02:15;01.01.2020 02:30;;0,06;0;0;1;6;68;79;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;02:30;2;1;01.01.2020 02:30;01.01.2020 02:45;;0,07;0;0;1;5;44;55;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;02:45;2;1;01.01.2020 02:45;01.01.2020 03:00;;0,06;0;0;1;6;50;61;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;03:00;3;1;01.01.2020 03:00;01.01.2020 03:15;;0,06;0;0;1;6;58;69;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;03:15;3;1;01.01.2020 03:15;01.01.2020 03:30;;0,06;0;0;1;6;48;59;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;03:30;3;1;01.01.2020 03:30;01.01.2020 03:45;;0,07;0;0;1;5;41;53;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;03:45;3;1;01.01.2020 03:45;01.01.2020 04:00;;0,06;0;0;1;6;49;61;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;04:00;4;1;01.01.2020 04:00;01.01.2020 04:15;;0,06;0;0;0;6;47;57;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;04:15;4;1;01.01.2020 04:15;01.01.2020 04:30;;0,06;0;0;1;6;46;58;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;04:30;4;1;01.01.2020 04:30;01.01.2020 04:45;;0,07;0;0;1;5;41;52;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;04:45;4;1;01.01.2020 04:45;01.01.2020 05:00;;0,06;0;0;1;6;46;58;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;05:00;5;1;01.01.2020 05:00;01.01.2020 05:15;;0,06;0,04;0;1;7;45;57;;;
