,avg_energy,avg_fourier,max_fourier,max_energy,avg_main_data,4,Label
0,33,36,265,56,45,6,0
1,30,38,242,56,42,2,0
2,55,154,442,572,37,7,1
3,176,488,1408,572,305,3,2
4,101,205,811,400,135,0,2
5,110,126,882,255,148,7,2
6,175,180,1407,288,257,5,2
7,108,215,869,288,144,1,2
8,97,263,782,389,103,6,2
9,115,336,923,389,167,2,1
10,55,56,446,130,66,1,2
11,61,87,495,123,91,5,2
12,64,120,517,247,60,7,2
13,111,219,892,247,182,3,2
14,118,430,947,488,201,4,2
15,104,335,838,488,157,0,2
16,50,110,404,360,36,0,1
17,27,33,222,49,38,0,0
18,31,42,252,85,39,6,0
19,39,67,315,85,58,2,1
20,86,250,695,487,70,6,1
21,132,431,1059,487,226,2,2
22,64,63,514,134,84,1,1
23,61,57,495,95,86,3,1
24,105,344,840,410,161,7,2
25,165,397,1322,410,286,3,2
26,100,215,804,395,101,1,2
27,49,94,393,177,59,1,2
28,29,27,235,55,37,0,0
29,28,33,229,58,38,6,0
30,31,40,252,58,47,2,0
31,29,24,232,55,38,7,0
32,104,359,832,402,133,6,2
33,147,376,1182,402,145,2,2
34,206,380,1652,439,365,4,2
35,162,241,1302,439,179,0,2
36,83,235,668,280,114,5,2
37,76,221,614,280,96,1,2
38,34,33,278,96,42,7,0
39,45,59,362,96,67,3,1
40,33,31,269,56,46,0,0
41,29,27,237,67,37,7,0
42,33,48,266,67,50,3,0
43,39,91,316,180,38,6,1
44,55,150,442,180,86,2,2
45,55,66,443,152,66,6,1
46,64,115,516,152,95,2,2
47,78,92,624,186,104,6,2
48,187,978,1503,1045,343,3,2
49,160,343,1287,438,229,5,2
50,247,398,1978,508,387,4,2
51,92,218,738,508,67,0,1
52,37,40,301,68,49,2,0
53,33,39,264,56,46,3,0
54,54,116,436,239,46,6,1
55,108,210,865,239,186,2,2
56,122,293,979,607,85,7,2
57,281,522,2252,607,471,3,2
58,150,264,1202,467,197,0,2
59,141,270,1131,308,224,4,2
60,45,85,360,173,49,1,1
61,33,43,269,58,49,2,0
62,33,32,270,116,40,7,0
63,41,84,332,116,61,3,1
64,37,42,298,73,52,3,1
65,48,63,385,131,61,6,1
66,54,96,437,131,80,2,1
67,38,33,306,66,51,1,0
68,31,27,253,57,42,0,0
69,29,39,236,50,42,2,0
70,29,25,234,53,38,7,0
71,48,112,387,142,69,5,2
72,117,494,942,544,204,4,2
73,50,143,406,544,46,0,0
74,27,28,218,47,37,0,0
75,29,25,239,53,42,7,0
76,32,30,261,57,46,4,0
77,39,44,319,83,52,6,0
78,40,53,324,83,56,2,0
79,44,90,354,350,44,7,0
80,177,375,1423,495,298,4,2
81,131,156,1051,495,159,0,2
82,80,121,642,390,72,7,2
83,142,297,1140,390,259,3,2
84,50,64,407,104,68,1,1
85,34,35,273,96,43,0,0
86,28,26,225,49,38,7,0
87,27,29,222,49,38,3,0
88,28,36,224,48,41,5,0
89,36,63,293,133,38,6,1
90,46,112,375,133,75,2,2
91,33,38,269,76,42,1,0
92,33,33,270,59,48,4,0
93,33,26,266,60,45,7,0
94,45,99,361,128,69,5,2
95,39,60,318,128,47,1,1
96,47,117,379,145,69,2,2
97,28,29,230,53,37,1,0
98,27,29,221,53,36,6,0
99,56,131,449,490,46,7,1
100,128,414,1024,490,211,3,2
101,131,123,1051,246,185,7,2
102,131,180,1048,246,201,3,2
103,49,61,395,240,52,0,1
104,61,84,490,283,79,7,1
105,141,446,1131,499,227,4,2
106,86,173,693,499,109,0,2
107,51,55,413,84,71,0,2
108,122,327,980,390,182,3,2
109,88,200,707,243,109,2,2
110,119,166,958,323,185,7,2
111,131,259,1048,503,162,7,2
112,100,462,807,503,170,3,2
113,31,30,248,66,41,7,0
114,33,44,264,66,48,3,0
115,28,26,227,47,38,4,0
116,32,32,262,61,44,7,0
117,49,69,394,149,59,6,1
118,58,110,471,149,85,2,2
119,50,54,406,83,73,2,1
120,92,365,742,399,164,5,2
121,95,269,763,399,102,1,2
122,123,233,987,285,176,5,2
123,106,127,848,285,136,1,2
124,95,233,761,258,158,4,2
125,59,116,479,258,54,0,1
126,38,78,310,100,52,5,2
127,87,339,703,386,143,4,2
128,57,96,460,386,60,0,0
129,188,760,1506,824,329,4,2
130,125,232,1007,824,120,0,2
131,44,41,357,152,55,0,1
132,99,451,794,495,170,3,2
133,37,37,303,79,51,7,1
134,48,44,390,90,68,6,1
135,95,218,760,447,80,6,1
136,202,406,1623,447,373,2,2
137,83,156,668,389,70,0,2
138,130,392,1047,462,179,5,2
139,143,262,1149,462,172,1,2
140,144,228,1155,426,188,6,2
141,142,335,1143,426,222,2,2
142,60,64,481,141,76,7,2
143,50,100,404,141,73,3,2
144,53,121,431,143,89,2,2
145,27,28,221,59,35,0,0
146,28,38,224,48,41,2,0
147,27,25,222,52,35,7,0
148,28,31,227,52,38,3,0
149,31,41,249,54,44,5,0
150,30,37,240,54,41,1,0
151,29,29,235,57,39,7,0
152,41,62,329,244,45,7,0
153,126,368,1014,415,198,5,2
154,168,381,1347,439,228,5,2
155,89,258,713,439,92,1,2
156,30,37,241,61,41,1,0
157,27,29,218,50,35,1,0
158,27,30,220,48,38,0,0
159,32,46,260,111,43,7,0
160,39,80,315,111,58,3,1
161,27,23,218,53,34,0,0
162,29,39,239,75,40,7,0
163,42,42,338,103,57,7,1
164,63,70,509,248,81,7,1
165,101,242,814,271,170,5,2
166,72,156,577,271,85,1,2
167,43,78,346,161,49,1,1
168,86,274,689,293,149,3,2
169,29,35,239,49,42,2,0
170,29,24,234,47,38,6,0
171,28,34,227,47,40,2,0
172,29,32,233,54,40,7,0
173,63,210,506,249,101,4,2
174,113,359,911,418,164,5,2
175,109,226,879,418,103,1,2
176,170,217,1365,791,223,7,2
177,229,647,1834,791,372,3,2
178,64,130,513,366,78,0,2
179,44,60,358,99,67,4,1
180,113,438,904,481,200,2,2
181,130,268,1044,391,166,6,2
182,149,327,1195,391,215,2,2
183,68,77,545,135,88,6,2
184,81,83,655,135,116,2,2
185,73,64,584,136,93,6,2
186,72,93,582,136,106,2,2
187,66,48,533,108,89,7,2
188,72,60,577,110,104,4,2
189,80,102,647,159,112,5,2
190,80,69,640,159,105,1,2
191,67,60,541,106,92,0,2
192,80,109,641,169,105,7,2
193,83,102,667,169,122,3,2
194,70,63,561,103,95,1,2
195,63,69,506,100,91,2,2
196,46,47,368,96,54,1,1
197,43,61,350,114,62,7,1
198,53,128,426,155,83,5,2
199,42,78,337,155,47,1,1
200,38,42,304,74,53,7,0
201,52,68,420,132,66,6,1
202,59,94,478,132,85,2,2
203,41,57,331,88,57,2,0
204,48,109,390,146,80,4,2
205,35,40,285,146,43,0,0
206,45,75,361,266,41,7,1
207,107,255,856,502,161,7,2
208,120,454,966,502,182,3,2
209,85,373,686,410,147,3,2
210,34,33,273,90,40,0,0
211,41,48,333,85,62,3,1
212,65,253,527,459,44,6,1
213,99,421,799,459,171,2,2
214,55,53,440,113,73,1,1
215,85,258,686,493,63,6,2
216,147,355,1181,366,231,5,2
217,115,234,925,383,91,6,2
218,109,331,879,383,151,2,2
219,143,159,1145,257,216,5,2
220,126,149,1010,257,186,1,2
221,45,62,363,209,50,0,1
222,34,33,273,73,42,1,0
223,30,39,247,54,42,2,0
224,38,52,305,75,54,7,0
225,61,87,490,194,68,6,1
226,67,157,539,194,106,2,2
227,36,39,293,67,47,1,0
228,51,56,413,165,66,0,1
229,47,50,376,76,65,5,1
230,46,42,374,76,63,1,1
231,47,38,376,76,62,3,1
232,46,45,373,77,63,6,1
233,47,51,377,77,66,2,1
234,47,54,377,77,66,5,1
235,46,47,374,77,64,1,1
236,48,48,385,85,65,4,1
237,48,37,391,85,66,0,1
238,49,40,395,83,66,7,1
239,68,63,545,165,87,7,2
240,28,23,228,48,37,6,0
241,28,34,225,48,39,2,0
242,28,38,225,51,39,5,0
243,27,32,223,51,38,1,0
244,27,29,219,50,37,4,0
245,28,24,227,50,37,0,0
246,32,39,260,56,45,5,0
247,31,33,249,56,41,1,0
248,40,65,327,93,56,5,1
249,47,51,382,93,67,1,1
250,117,351,941,345,195,5,2
251,104,151,836,345,106,1,2
252,28,33,228,51,40,1,0
253,27,28,220,49,37,4,0
254,27,24,218,49,36,0,0
255,27,26,219,49,37,3,0
256,27,30,220,49,37,6,0
257,27,35,223,49,39,2,0
258,28,37,229,50,39,5,0
259,29,34,235,50,40,1,0
260,48,71,385,174,61,7,2
261,74,126,596,277,97,7,2
262,124,242,997,318,215,4,2
263,74,89,595,318,81,0,2
264,28,23,225,50,36,0,0
265,28,36,224,49,39,2,0
266,28,35,225,49,39,5,0
267,28,31,225,49,38,1,0
268,28,26,224,50,37,4,0
269,28,24,225,50,38,0,0
270,28,29,226,50,38,3,0
271,29,32,232,50,40,6,0
272,35,49,283,69,48,5,1
273,46,58,369,84,65,4,1
274,42,38,337,84,56,0,0
275,48,67,388,142,58,6,1
276,28,38,231,50,41,5,0
277,28,34,225,50,39,1,0
278,27,29,219,50,36,1,0
279,27,26,218,49,37,4,0
280,27,25,220,49,37,0,0
281,27,29,222,49,37,3,0
282,28,34,228,50,40,6,0
283,35,57,284,77,48,5,1
284,41,45,334,77,60,1,1
285,33,28,271,60,43,7,0
286,40,50,320,86,52,6,1
287,65,160,526,604,59,7,2
288,28,26,228,49,38,0,0
289,31,38,248,83,40,7,0
290,43,46,345,83,65,3,1
291,40,40,321,147,44,7,0
292,102,181,820,377,112,6,2
293,178,349,1430,399,324,4,2
294,53,118,425,399,39,0,1
295,30,41,243,54,44,5,0
296,94,296,754,560,53,6,1
297,181,553,1450,560,315,2,2
298,101,108,810,262,124,7,2
299,179,183,1435,304,264,6,2
300,29,27,238,57,39,0,0
301,28,30,230,52,39,0,0
302,29,38,233,51,41,5,0
303,29,31,233,51,39,1,0
304,29,23,232,51,38,7,0
305,78,253,626,278,137,5,2
306,74,164,598,494,42,7,1
307,118,437,948,494,183,3,2
308,163,357,1307,440,273,3,2
309,113,127,905,287,133,1,2
310,76,97,615,152,103,3,2
311,71,77,573,112,102,2,2
312,86,281,692,494,79,1,2
313,41,57,330,79,58,6,1
314,56,102,455,146,86,4,2
315,35,48,286,146,43,0,1
316,27,31,219,46,39,4,0
317,27,26,216,49,36,4,0
318,27,26,217,49,36,0,0
319,27,31,220,50,37,6,0
320,29,37,238,50,42,2,0
321,30,37,244,53,43,5,0
322,29,32,239,53,40,1,0
323,29,24,237,53,39,7,0
324,28,24,231,51,38,7,0
325,28,29,224,51,37,3,0
326,28,34,230,50,40,6,0
327,28,39,231,51,41,5,0
328,28,32,231,51,40,1,0
329,28,27,229,51,38,4,0
330,28,25,229,51,38,0,0
331,28,30,229,52,38,6,0
332,30,38,246,52,44,2,0
333,31,37,250,54,43,5,0
334,36,41,289,155,41,7,1
335,80,254,646,294,136,4,2
336,47,43,377,78,63,4,1
337,46,42,374,78,63,0,1
338,46,54,375,76,66,2,1
339,46,36,373,74,62,1,1
340,46,44,373,73,64,0,1
341,46,48,374,71,65,2,1
342,46,33,374,71,62,6,1
343,48,54,388,87,67,6,1
344,130,356,1042,404,200,4,2
345,136,227,1089,404,173,0,2
346,65,101,522,286,86,0,2
347,37,38,297,67,49,0,1
348,37,34,297,70,49,1,1
349,28,34,228,50,40,0,0
350,28,25,226,49,37,1,0
351,30,35,247,50,45,4,0
352,33,32,271,54,47,5,0
353,29,25,239,54,38,1,0
354,35,56,282,86,53,4,1
355,31,28,254,86,40,0,1
356,37,42,298,75,49,6,1
357,89,206,717,418,84,6,2
358,138,371,1107,503,209,7,2
359,108,450,867,503,178,3,2
360,75,219,606,397,61,6,2
361,110,376,886,397,197,2,2
362,125,299,1004,389,180,5,2
363,121,214,968,389,157,1,2
364,32,35,259,96,42,0,0
365,29,24,235,61,40,7,0
366,42,58,340,90,62,5,1
367,41,38,331,90,53,1,1
368,36,46,290,63,50,5,0
369,64,126,517,173,92,4,2
370,71,83,572,173,101,0,2
371,40,46,322,90,50,1,1
372,49,94,398,126,71,4,2
373,40,38,321,126,52,0,1
374,84,330,674,365,125,5,2
375,73,217,589,365,79,1,2
376,29,27,235,49,40,6,0
377,29,30,235,49,41,2,0
378,30,28,240,70,40,7,0
379,32,43,261,70,44,3,0
380,75,223,600,428,54,6,1
381,131,385,1052,428,230,2,2
382,75,117,603,163,113,5,2
383,99,249,798,303,124,5,2
384,47,74,379,295,50,0,1
385,36,36,292,58,53,4,1
386,29,25,234,58,36,0,0
387,28,32,224,49,39,2,0
388,28,33,224,49,39,5,0
389,27,25,221,49,36,1,0
390,31,35,255,92,41,7,0
391,40,59,320,92,61,3,1
392,30,27,242,51,39,1,0
393,30,28,241,49,42,0,0
394,30,29,243,49,41,3,0
395,30,31,243,51,41,4,0
396,28,28,224,50,37,4,0
397,38,80,304,103,55,5,1
398,166,651,1329,696,294,4,2
399,142,232,1138,696,126,0,2
400,106,163,850,236,157,1,2
401,36,41,291,154,45,0,1
402,37,29,296,71,51,7,1
403,42,66,343,98,64,4,1
404,80,164,644,360,67,7,2
405,167,359,1337,388,293,4,2
406,69,100,558,388,77,0,2
407,45,84,363,115,65,2,1
408,35,42,281,159,38,0,1
409,27,24,219,46,37,4,0
410,27,29,218,49,37,4,
411,27,26,219,49,38,0,
412,27,28,217,47,37,7,
413,26,29,215,47,37,3,
414,26,23,212,45,35,1,
415,27,22,223,46,38,6,
416,67,177,536,649,60,7,
417,174,557,1395,649,292,3,
418,158,259,1270,567,194,7,
419,132,505,1060,567,218,3,
420,48,82,384,113,68,2,
421,47,46,377,122,64,7,
422,125,407,1004,474,223,4,
423,64,140,519,474,48,0,
424,27,30,223,47,39,0,
425,33,53,271,81,50,4,
426,30,27,240,81,38,0,
427,41,63,329,258,43,7,
428,97,244,783,402,103,7,
429,141,358,1130,402,261,3,
430,48,56,388,182,51,0,
431,45,45,360,73,64,5,
432,31,30,255,59,43,1,
433,27,27,221,52,37,0,
434,27,29,221,44,37,2,
435,27,34,223,48,39,5,
436,27,26,216,48,35,1,
437,26,33,213,47,38,5,
438,26,24,209,47,34,1,
439,28,35,227,50,39,6,
440,79,311,633,563,40,6,
441,172,514,1378,563,253,2,
442,177,315,1422,372,314,3,
443,135,369,1085,447,193,4,
444,159,466,1275,607,194,1,
445,131,149,1052,300,173,6,
446,113,211,911,300,170,2,
447,35,40,286,131,45,0,
448,29,29,237,52,38,1,
449,34,63,272,83,49,5,
450,32,40,261,83,41,1,
451,28,30,229,45,39,2,
452,33,48,264,68,45,5,
453,45,68,360,144,51,6,
454,62,117,497,144,96,2,
455,58,46,465,104,75,1,
456,81,273,648,505,57,1,
457,30,29,243,88,37,0,
458,27,32,221,48,38,0,
459,27,27,222,56,36,7,
460,56,157,453,192,84,5,
461,132,207,1058,344,157,6,
462,181,219,1449,344,275,2,
463,70,124,560,250,75,0,
464,58,128,465,165,93,5,
465,65,132,523,165,87,1,
466,50,77,402,163,54,1,
467,51,48,408,81,71,3,
468,95,271,766,313,124,2,
469,69,225,559,259,110,2,
470,110,138,884,263,150,6,
471,189,257,1515,439,241,7,
472,169,323,1356,439,267,3,
473,33,59,265,227,35,0,
474,26,31,212,47,37,4,
475,26,29,210,47,34,0,
476,71,272,570,499,41,6,
477,157,435,1258,499,278,2,
478,71,105,575,208,81,1,
479,58,57,467,109,79,7,
480,28,31,228,48,40,4,
481,33,30,266,103,40,7,
482,53,63,427,103,80,3,
483,58,62,468,99,79,6,
484,88,273,705,329,139,4,
485,59,84,475,329,68,0,
486,53,46,424,137,71,7,
487,122,218,977,303,182,4,
488,103,180,824,303,126,0,
489,150,369,1202,472,221,5,
490,141,256,1130,472,171,1,
491,74,57,593,111,101,1,
492,26,33,213,48,38,0,
493,26,27,214,48,35,1,
494,26,34,211,48,37,0,
495,26,26,210,48,34,1,
496,26,30,209,46,37,0,
497,26,29,211,48,35,4,
498,26,28,211,48,36,0,
499,33,45,267,76,44,7,
500,52,45,419,126,67,7,
501,76,64,612,126,111,3,
502,139,465,1117,534,208,5,
503,115,295,923,534,125,1,
504,27,24,220,45,37,1,
505,27,30,220,50,37,4,
506,26,29,214,50,37,0,
507,26,29,212,47,36,4,
508,26,30,212,47,37,0,
509,26,28,211,48,35,4,
510,26,30,212,48,37,0,
511,82,373,658,409,132,5,
512,101,206,815,409,102,1,
513,144,189,1157,277,214,6,
514,102,199,818,277,132,2,
515,37,45,298,63,54,2,
516,27,26,222,47,37,1,
517,28,32,225,48,39,7,
518,26,28,215,48,36,3,
519,26,30,212,47,36,7,
520,26,30,212,47,37,3,
521,26,28,210,48,35,4,
522,26,32,212,48,37,0,
523,26,25,208,46,34,1,
524,45,58,361,139,55,7,
525,131,397,1052,470,221,5,
526,217,414,1738,481,249,6,
527,191,358,1528,481,272,2,
528,35,54,282,74,53,4,
529,35,37,282,74,46,0,
