,0,1,2,3,4,5,6,7,8
0,40,43,55,47,35,44,56,39,0
1,35,44,56,39,32,44,42,28,0
2,32,44,42,28,31,48,139,572,1
3,31,48,139,572,400,112,108,270,2
4,400,112,108,270,87,78,70,123,2
5,87,78,70,123,190,212,224,255,2
6,190,212,224,255,263,288,258,111,2
7,263,288,258,111,66,143,34,52,2
8,66,143,34,52,59,270,389,74,2
9,59,270,389,74,78,130,79,70,1
10,78,130,79,70,55,61,87,85,2
11,55,61,87,85,72,123,89,68,2
12,46,59,76,37,69,61,246,247,2
13,69,61,246,247,140,97,81,184,2
14,140,97,81,184,488,52,50,34,2
15,488,52,50,34,360,187,32,34,2
16,360,187,32,34,49,29,45,37,1
17,49,29,45,37,29,42,46,29,0
18,29,42,46,29,34,48,85,30,0
19,34,48,85,30,60,58,39,64,0
20,60,58,39,64,81,96,487,216,1
21,81,96,487,216,67,134,80,79,2
22,67,134,80,79,89,88,79,95,1
23,89,88,79,95,76,94,72,90,1
24,46,51,58,395,137,54,46,410,2
25,137,54,46,410,296,395,142,50,2
26,296,395,142,50,36,177,93,40,2
27,36,177,93,40,55,50,35,50,1
28,55,50,35,50,34,29,45,44,0
29,34,29,45,44,29,36,58,42,0
30,29,36,58,42,53,36,30,47,0
31,53,36,30,47,46,32,38,55,0
32,46,32,38,55,55,386,402,65,1
33,55,386,402,65,65,49,402,346,2
34,65,49,402,346,439,276,127,208,2
35,439,276,127,208,99,282,368,204,2
36,41,57,51,46,82,280,245,43,1
37,82,280,245,43,51,46,31,48,1
38,51,46,31,48,36,53,63,96,0
39,36,53,63,96,56,56,54,51,0
40,56,56,54,51,39,40,40,34,0
41,39,40,40,34,47,30,50,67,0
42,47,30,50,67,33,52,34,36,0
43,33,52,34,36,48,37,180,34,1
44,48,37,180,34,78,53,64,70,1
45,78,53,64,70,68,65,152,92,1
46,68,65,152,92,58,79,83,81,1
47,58,79,83,81,111,143,186,92,2
48,50,60,85,1045,179,66,82,89,2
49,179,66,82,89,308,438,296,317,2
50,308,438,296,317,508,429,81,64,2
51,508,429,81,64,66,58,68,45,1
52,66,58,68,45,49,34,55,56,0
53,49,34,55,56,36,37,55,39,0
54,36,37,55,39,37,55,239,236,1
55,37,55,239,236,184,87,92,63,2
56,184,87,92,63,95,91,569,607,2
57,95,91,569,607,467,242,373,186,2
58,467,242,373,186,121,108,125,167,2
59,121,108,125,167,308,298,67,300,2
60,41,173,54,59,41,42,58,38,1
61,41,42,58,38,45,55,39,39,0
62,45,55,39,39,47,38,42,116,0
63,47,38,42,116,51,36,46,73,1
64,51,36,46,73,51,40,57,55,1
65,51,40,57,55,53,81,131,64,1
66,53,81,131,64,61,66,57,50,1
67,61,66,57,50,57,43,42,52,0
68,57,43,42,52,40,34,50,39,0
69,40,34,50,39,31,50,35,42,0
70,31,50,35,42,46,30,42,53,0
71,46,30,42,53,40,142,96,64,1
72,45,104,71,164,544,37,54,54,2
73,544,37,54,54,47,30,38,40,0
74,47,30,38,40,30,42,38,43,0
75,30,42,38,43,49,39,33,53,0
76,49,39,33,53,57,41,39,52,0
77,57,41,39,52,50,70,83,53,0
78,50,70,83,53,48,40,52,35,0
79,48,40,52,35,48,42,55,350,0
80,48,42,55,350,495,294,201,223,2
81,495,294,201,223,119,96,96,84,2
82,119,96,96,84,56,55,230,390,2
83,56,55,230,390,249,170,48,72,2
84,75,104,67,52,96,59,54,48,1
85,96,59,54,48,31,40,41,36,0
86,31,40,41,36,46,31,38,49,0
87,46,31,38,49,31,35,45,31,0
88,31,35,45,31,40,48,31,37,0
89,40,48,31,37,49,37,133,56,1
90,49,37,133,56,36,76,43,36,2
91,36,76,43,36,52,37,53,41,0
92,52,37,53,41,59,39,44,45,0
93,59,39,44,45,45,46,44,60,0
94,45,46,44,60,45,128,42,56,1
95,45,128,42,56,45,48,36,47,1
96,88,66,145,31,49,53,42,30,1
97,49,53,42,30,42,36,31,49,0
98,42,36,31,49,32,32,53,35,0
99,32,32,53,35,43,53,146,490,1
100,43,53,146,490,129,81,125,188,2
101,129,81,125,188,231,199,239,246,2
102,231,199,239,246,240,81,62,45,2
